trip_id,schedule_date,departure_time,route_name,vehicle_id,passenger_count,estimated_arrival_time,staff_id,company_id,working_day,bus_type,classification,seating_capacity,ticket_no,utilization_rate,remarks,summary_id,driver_id,rejection_reason,expiry_reason,route_id
51,2026-01-08,13:23:00,Batangas,108,15,15:14:00,,4,THURSDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-78,1.0,Routine trip,SUM-20260108-01,97,,,20
1603,2026-09-22,08:23:00,Batangas,124,14,10:23:00,,4,TUESDAY,15 Seats - Nissan Urvan,Morning,15,TK-22,0.93,Smooth travel,SUM-20260922-01,97,,,20
1186,2026-07-15,12:29:00,Los Baños,31,14,14:36:00,,3,WEDNESDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-62,0.93,On schedule,SUM-20260715-01,97,,,1
764,2026-05-07,13:00:00,Taguig,115,14,15:14:00,,2,THURSDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-11,0.93,Smooth travel,SUM-20260507-01,97,,,21
347,2026-02-26,10:13:00,Batangas,127,14,12:39:00,,2,THURSDAY,15 Seats - Nissan Urvan,Morning,15,TK-46,0.93,Heavy traffic delayed arrival,SUM-20260226-01,97,,,20
1656,2026-09-30,10:09:00,SM Lipa,46,13,12:04:00,,4,WEDNESDAY,18 Seats - Toyota Hiace Commuter,Morning,18,TK-36,0.72,Routine trip,SUM-20260930-01,97,,,12
1149,2026-07-09,14:05:00,Batangas,124,13,15:26:00,,3,THURSDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-77,0.87,Clear weather,SUM-20260709-01,97,,,20
1099,2026-07-01,08:11:00,Los Baños,47,12,10:36:00,,4,WEDNESDAY,15 Seats - Nissan Urvan,Morning,15,TK-08,0.8,Heavy traffic delayed arrival,SUM-20260701-01,97,,,1
1059,2026-06-25,10:27:00,Sto.Tomas,125,12,11:54:00,,4,THURSDAY,15 Seats - Nissan Urvan,Morning,15,TK-40,0.8,Routine trip,SUM-20260625-01,97,,,18
381,2026-03-04,15:06:00,Bugtong Payapa,118,12,16:04:00,,2,WEDNESDAY,15 Seats - Nissan Urvan,Afternoon,15,TK-34,0.8,Routine trip,SUM-20260304-01,97,,,14
